name,lat,lon,geometry
โรงเรียนเทศบาล 1 (เอ็งเสียงสามัคคี),7.016168002448947,100.47009743987697,POINT (100.47009743987697 7.016168002448947)
โรงเรียนเทศบาล 2 (บ้านหาดใหญ่),7.002161827619938,100.46069209569502,POINT (100.46069209569502 7.002161827619938)
โรงเรียนเทศบาล 5 (วัดหาดใหญ่),7.003149966499621,100.4540897919858,POINT (100.4540897919858 7.003149966499621)
โรงเรียนเทศบาล 6 (อนุบาลในฝัน),7.001546218471923,100.45903799198578,POINT (100.45903799198578 7.001546218471923)
โรงเรียนหาดใหญ่วิทยาลัย,7.016699159466011,100.47662960694524,POINT (100.47662960694524 7.016699159466011)
โรงเรียนหาดใหญ่วิทยาลัยสมบูรณ์กุลกันยา,7.002728240318929,100.45836130947328,POINT (100.45836130947328 7.002728240318929)
โรงเรียนวัดโคกสมานคุณ,7.008241615254501,100.46339496314948,POINT (100.46339496314948 7.008241615254501)
โรงเรียนคุณธรรมวิทยา,7.006949218693521,100.46300210355538,POINT (100.46300210355538 7.006949218693521)
โรงเรียนโสตศึกษาจังหวัดสงขลา,7.014956311046493,100.49666551331822,POINT (100.49666551331822 7.014956311046493)
โรงเรียนพลวิทยา,7.0036763034829335,100.4581194856772,POINT (100.4581194856772 7.0036763034829335)
โรงเรียนพลวิทยาระบบสองภาษา,7.004298622064699,100.45907295151318,POINT (100.45907295151318 7.004298622064699)
โรงเรียนแสงทองวิทยา,7.005690877831085,100.47544547849498,POINT (100.47544547849498 7.005690877831085)
โรงเรียนธิดานุเคราะห์,7.011542676220886,100.474876895695,POINT (100.474876895695 7.011542676220886)
โรงเรียนสมานคุณวิทยาทาน,7.008455169122618,100.46424223616772,POINT (100.46424223616772 7.008455169122618)
โรงเรียนศรีนครมูลนิธิ,7.00354402478286,100.47655561525848,POINT (100.47655561525848 7.00354402478286)
โรงเรียนนานาชาติเซาท์เทิร์น หาดใหญ่,7.024526424336696,100.45590208405886,POINT (100.45590208405886 7.024526424336696)
โรงเรียนหาดใหญ่คริสเตียน,7.017438063076194,100.49534584937018,POINT (100.49534584937018 7.017438063076194)
โรงเรียนพัฒนศึกษา,7.001469576660509,100.46428143616764,POINT (100.46428143616764 7.001469576660509)
โรงเรียนสุวรรณวงศ์,7.006799167233436,100.47812476314952,POINT (100.47812476314952 7.006799167233436)
โรงเรียนเทพอำนวยหาดใหญ่,7.009110728230743,100.45981567478589,POINT (100.45981567478589 7.009110728230743)
โรงเรียนอนุบาลนครหาดใหญ่ (นะ สุวรรณวงศ์),7.0104900737673175,100.4855173496586,POINT (100.4855173496586 7.0104900737673175)
โรงเรียนศรีสว่างวงศ์,7.025304320718358,100.47297980496808,POINT (100.47297980496808 7.025304320718358)
โรงเรียนทิพรัตน์วิทยาคาร,7.010332803327873,100.46402883987687,POINT (100.46402883987687 7.010332803327873)
โรงเรียนธำรงวัฒนา พัฒนาเยาวชน,7.012287428833432,100.48434589076824,POINT (100.48434589076824 7.012287428833432)
โรงเรียนอนุบาลกุลจินต์,7.019539925597217,100.4552544496587,POINT (100.4552544496587 7.019539925597217)
โรงเรียนนานาชาติอเมริกัน เพรพ,7.020249225417972,100.4984916245315,POINT (100.4984916245315 7.020249225417972)
โรงเรียนมัธยมจิตจัณ,7.01712477163699,100.49123812184004,POINT (100.49123812184004 7.01712477163699)
โรงเรียนบุญเลิศอนุสรณ์,7.017575774559477,100.48864881104068,POINT (100.48864881104068 7.017575774559477)
โรงเรียนกอบกาญจน์ศึกษามูลนิธิ,7.020202077024249,100.4784726166044,POINT (100.4784726166044 7.020202077024249)
โรงเรียนวิริยะเธียรวิทยา,7.007962525892164,100.4748189687132,POINT (100.4748189687132 7.007962525892164)
